Datacenter, Cluster,Primary,Secondary, Access IP,Virtual Server Name,Virtual Server IP, Virtual Server Port, VIP Status, VIP Enable Status, Pool Name, Pool Status,LB Method, Monitor Name, Node IP, Node Port, Node Enabled State, Node Status, iRules
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-preprod-vip-1,10.113.54.62,80,RED,DISABLED,communities-preprod-pool,RED,ROUND ROBIN,communities-http,10.113.54.63,8080,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-preprod-vip-1,10.113.54.62,80,RED,DISABLED,communities-preprod-pool,RED,ROUND ROBIN,communities-http,10.113.54.64,8080,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-prod-gbot-vip-1,10.113.63.9,80,GREEN,DISABLED,communities-prod-gbot-pool-1,GREEN,ROUND ROBIN,http1.0,10.113.62.47,80,UP,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-prod-gbot-vip-1,10.113.63.9,80,GREEN,DISABLED,communities-prod-gbot-pool-1,GREEN,ROUND ROBIN,http1.0,10.113.62.48,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-prod-gbot-vip-1,10.113.63.9,80,GREEN,DISABLED,communities-prod-gbot-pool-1,GREEN,ROUND ROBIN,http1.0,10.113.62.49,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-prod-gbot-vip-2,10.113.63.94,80,RED,ENABLED,communities-prod-gbot-vip-2-pool,RED,ROUND ROBIN,communities-prod-gbot-vip-2-monitor,10.113.62.180,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-prod-gbot-vip-2,10.113.63.94,80,RED,ENABLED,communities-prod-gbot-vip-2-pool,RED,ROUND ROBIN,communities-prod-gbot-vip-2-monitor,10.113.62.181,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-prod-gbot-vip-2,10.113.63.94,80,RED,ENABLED,communities-prod-gbot-vip-2-pool,RED,ROUND ROBIN,communities-prod-gbot-vip-2-monitor,10.113.62.182,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-prod-vip-2,10.113.63.79,80,RED,ENABLED,communities-prod-vip-2-pool,RED,ROUND ROBIN,communities-prod-vip-2-monitor,10.113.62.83,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-prod-vip-2,10.113.63.79,80,RED,ENABLED,communities-prod-vip-2-pool,RED,ROUND ROBIN,communities-prod-vip-2-monitor,10.113.62.84,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-prod-vip-2,10.113.63.79,80,RED,ENABLED,communities-prod-vip-2-pool,RED,ROUND ROBIN,communities-prod-vip-2-monitor,10.113.62.85,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-prod-vip-2,10.113.63.79,80,RED,ENABLED,communities-prod-vip-2-pool,RED,ROUND ROBIN,communities-prod-vip-2-monitor,10.113.62.86,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,govirtual-prod-lamp-8080-vip-1,10.113.63.27,8080,RED,DISABLED,govirtual-prod-lamp-8080-pool,RED,ROUND ROBIN,govirtual-prod-lamp-monitor,10.113.63.27,8080,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,govirtual-prod-lamp-https-vip-1,10.113.63.27,443,RED,DISABLED,govirtual-prod-lamp-https-pool,RED,ROUND ROBIN,govirtual-prod-lamp-monitor,10.113.63.26,443,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,govirtual-prod-lamp-vip-1,10.113.63.27,80,RED,DISABLED,govirtual-prod-lamp-pool,RED,ROUND ROBIN,govirtual-prod-lamp-monitor,10.113.63.26,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,job-referrals-vip,10.113.63.34,443,GREEN,ENABLED,job-referrals-pool,GREEN,ROUND ROBIN,http,10.113.63.33,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,labs-8080-vip,10.113.63.35,8080,GREEN,ENABLED,labs-pool,GREEN,ROUND ROBIN,labs-pool-monitor,10.113.62.135,80,UP,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,labs-8080-vip,10.113.63.35,8080,GREEN,ENABLED,labs-pool,GREEN,ROUND ROBIN,labs-pool-monitor,10.113.62.205,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,labs-ssl-vip,10.113.63.35,443,GREEN,ENABLED,labs-pool,GREEN,ROUND ROBIN,labs-pool-monitor,10.113.62.135,80,UP,DISABLED,insert-X-Forwarded-Proto-https
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,labs-ssl-vip,10.113.63.35,443,GREEN,ENABLED,labs-pool,GREEN,ROUND ROBIN,labs-pool-monitor,10.113.62.205,80,UP,ENABLED,insert-X-Forwarded-Proto-https
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,labs-web-vip,10.113.63.35,80,GREEN,ENABLED,labs-pool,GREEN,ROUND ROBIN,labs-pool-monitor,10.113.62.135,80,UP,DISABLED,http-to-https-redirect
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,labs-web-vip,10.113.63.35,80,GREEN,ENABLED,labs-pool,GREEN,ROUND ROBIN,labs-pool-monitor,10.113.62.205,80,UP,ENABLED,http-to-https-redirect
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,pchmgmt-prod-web-ssl-vip,10.113.63.3,443,GREEN,ENABLED,pchmgmt-prod-web-pool,GREEN,ROUND ROBIN,http1.0,10.113.62.43,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,pchmgmt-prod-web-ssl-vip,10.113.63.3,443,GREEN,ENABLED,pchmgmt-prod-web-pool,GREEN,ROUND ROBIN,http1.0,10.113.62.44,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,pchmgmt-prod-web-vip,10.113.63.3,80,GREEN,ENABLED,pchmgmt-prod-web-pool,GREEN,ROUND ROBIN,http1.0,10.113.62.43,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,pchmgmt-prod-web-vip,10.113.63.3,80,GREEN,ENABLED,pchmgmt-prod-web-pool,GREEN,ROUND ROBIN,http1.0,10.113.62.44,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s2-prod-hyperic-389-vip,10.113.62.138,389,RED,DISABLED,s2-prod-hyperic-6501-pool,RED,ROUND ROBIN,tcp,10.113.62.136,6501,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s2-prod-hyperic-389-vip,10.113.62.138,389,RED,DISABLED,s2-prod-hyperic-6501-pool,RED,ROUND ROBIN,tcp,10.113.62.137,6501,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s2-prod-hyperic-636-vip,10.113.62.138,636,RED,DISABLED,s2-prod-hyperic-7501-pool,RED,ROUND ROBIN,tcp,10.113.62.136,7501,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s2-prod-hyperic-636-vip,10.113.62.138,636,RED,DISABLED,s2-prod-hyperic-7501-pool,RED,ROUND ROBIN,tcp,10.113.62.137,7501,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s2-stage-hyperic-389-vip,10.113.54.36,389,RED,DISABLED,s2-stage-hyperic-6501-pool,RED,ROUND ROBIN,tcp,10.113.54.37,6501,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s2-stage-hyperic-389-vip,10.113.54.36,389,RED,DISABLED,s2-stage-hyperic-6501-pool,RED,ROUND ROBIN,tcp,10.113.54.38,6501,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s2-stage-hyperic-http-vip,10.113.54.36,80,RED,DISABLED,s2-stage-hyperic-pool,RED,ROUND ROBIN,http,10.113.54.37,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s2-stage-hyperic-http-vip,10.113.54.36,80,RED,DISABLED,s2-stage-hyperic-pool,RED,ROUND ROBIN,http,10.113.54.38,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s2-stage-hyperic-https-vip,10.113.54.36,443,RED,DISABLED,s2-stage-hyperic-pool,RED,ROUND ROBIN,http,10.113.54.37,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s2-stage-hyperic-https-vip,10.113.54.36,443,RED,DISABLED,s2-stage-hyperic-pool,RED,ROUND ROBIN,http,10.113.54.38,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s3p-prod-web-ssl-vip-1,10.113.63.11,443,RED,DISABLED,s3p-prod-web-ssl-pool-1,RED,ROUND ROBIN,https1.0,10.113.62.45,443,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s3p-prod-web-ssl-vip-1,10.113.63.11,443,RED,DISABLED,s3p-prod-web-ssl-pool-1,RED,ROUND ROBIN,https1.0,10.113.62.46,443,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s3p-prod-web-vip-1,10.113.63.11,80,RED,DISABLED,s3p-prod-web-pool-1,RED,ROUND ROBIN,http1.0,10.113.62.45,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,s3p-prod-web-vip-1,10.113.63.11,80,RED,DISABLED,s3p-prod-web-pool-1,RED,ROUND ROBIN,http1.0,10.113.62.46,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,socialcast-prod-ssl-vip,10.113.63.105,443,GREEN,ENABLED,www-zimbra-prod-web-pool,GREEN,LEAST CONNECTION_MEMBER,http,10.113.62.160,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,socialcast-prod-ssl-vip,10.113.63.105,443,GREEN,ENABLED,www-zimbra-prod-web-pool,GREEN,LEAST CONNECTION_MEMBER,http,10.113.62.161,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,socialcast-prod-ssl-vip,10.113.63.105,443,GREEN,ENABLED,www-zimbra-prod-web-pool,GREEN,LEAST CONNECTION_MEMBER,http,10.113.62.162,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,socialcast-prod-ssl-vip,10.113.63.105,443,GREEN,ENABLED,www-zimbra-prod-web-pool,GREEN,LEAST CONNECTION_MEMBER,http,10.113.62.163,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,socialcast-prod-vip,10.113.63.105,80,GREEN,ENABLED,www-zimbra-prod-web-pool,GREEN,LEAST CONNECTION_MEMBER,http,10.113.62.160,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,socialcast-prod-vip,10.113.63.105,80,GREEN,ENABLED,www-zimbra-prod-web-pool,GREEN,LEAST CONNECTION_MEMBER,http,10.113.62.161,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,socialcast-prod-vip,10.113.63.105,80,GREEN,ENABLED,www-zimbra-prod-web-pool,GREEN,LEAST CONNECTION_MEMBER,http,10.113.62.162,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,socialcast-prod-vip,10.113.63.105,80,GREEN,ENABLED,www-zimbra-prod-web-pool,GREEN,LEAST CONNECTION_MEMBER,http,10.113.62.163,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,vam-prod-img-mgr-proxy-vip,10.113.63.23,80,RED,ENABLED,vam-prod-img-mgr-proxy-pool,RED,ROUND ROBIN,http1.0,10.113.62.96,8080,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,vam-prod-img-mgr-proxy-vip,10.113.63.23,80,RED,ENABLED,vam-prod-img-mgr-proxy-pool,RED,ROUND ROBIN,http1.0,10.113.62.97,8080,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,vam-prod-tfr-proxy-vip,10.113.63.18,80,RED,ENABLED,vam-prod-img-tfr-proxy-pool,RED,ROUND ROBIN,http1.0,10.113.62.96,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,vam-prod-tfr-proxy-vip,10.113.63.18,80,RED,ENABLED,vam-prod-img-tfr-proxy-pool,RED,ROUND ROBIN,http1.0,10.113.62.97,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,vam-stage-img-tfr-proxy-vip,10.113.54.29,80,RED,ENABLED,vam-stage-img-tfr-proxy-pool,RED,ROUND ROBIN,http1.0,10.113.54.28,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,vam-stage-img-tfr-proxy-vip,10.113.54.29,80,RED,ENABLED,vam-stage-img-tfr-proxy-pool,RED,ROUND ROBIN,http1.0,10.113.54.30,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,view-ss-http-vip,10.113.63.103,80,GREEN,ENABLED,view-ss-http-pool,GREEN,ROUND ROBIN,http,10.113.63.101,80,UP,ENABLED,view-block-error-irule  view-ss-irule
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,view-ss-http-vip,10.113.63.103,80,GREEN,ENABLED,view-ss-http-pool,GREEN,ROUND ROBIN,http,10.113.63.102,80,UP,ENABLED,view-block-error-irule  view-ss-irule
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,view-ss-ssl-viop,10.113.63.103,443,GREEN,ENABLED,view-ss-ssl-pool,GREEN,ROUND ROBIN,https_443,10.113.63.101,443,UP,ENABLED,view-block-error-irule  view-ss-irule
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,view-ss-ssl-viop,10.113.63.103,443,GREEN,ENABLED,view-ss-ssl-pool,GREEN,ROUND ROBIN,https_443,10.113.63.102,443,UP,ENABLED,view-block-error-irule  view-ss-irule
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,vmext-ssl-vip,10.113.63.252,443,RED,DISABLED,vmext-pool,RED,ROUND ROBIN,https,10.113.62.35,443,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,vmext-ssl-vip,10.113.63.252,443,RED,DISABLED,vmext-pool,RED,ROUND ROBIN,https,10.113.62.36,443,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,vmworld-prod-vip-1,10.113.63.7,80,RED,DISABLED,vmworld-prod-pool-1,RED,ROUND ROBIN,http1.0,10.113.62.75,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,webhost-prod-web-ssl-vip-int,10.113.63.215,443,GREEN,ENABLED,webhost-prod-web-ssl-pool-1,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-https-check,10.113.62.91,443,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,webhost-prod-web-ssl-vip-int,10.113.63.215,443,GREEN,ENABLED,webhost-prod-web-ssl-pool-1,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-https-check,10.113.62.92,443,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,webhost-prod-web-ssl-vip-int,10.113.63.215,443,GREEN,ENABLED,webhost-prod-web-ssl-pool-1,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-https-check,10.113.62.93,443,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,webhost-prod-web-ssl-vip-int,10.113.63.215,443,GREEN,ENABLED,webhost-prod-web-ssl-pool-1,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-https-check,10.113.62.94,443,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,webhost-prod-web-ssl-vip-int,10.113.63.215,443,GREEN,ENABLED,webhost-prod-web-ssl-pool-1,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-https-check,10.113.62.95,443,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,webhost-prod-web-vip-int,10.113.63.215,80,GREEN,ENABLED,webhost-prod-web-pool-1,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-http-check,10.113.62.91,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,webhost-prod-web-vip-int,10.113.63.215,80,GREEN,ENABLED,webhost-prod-web-pool-1,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-http-check,10.113.62.92,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,webhost-prod-web-vip-int,10.113.63.215,80,GREEN,ENABLED,webhost-prod-web-pool-1,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-http-check,10.113.62.93,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,webhost-prod-web-vip-int,10.113.63.215,80,GREEN,ENABLED,webhost-prod-web-pool-1,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-http-check,10.113.62.94,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,webhost-prod-web-vip-int,10.113.63.215,80,GREEN,ENABLED,webhost-prod-web-pool-1,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-http-check,10.113.62.95,80,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwa-prod-web-vip-1,10.113.63.12,80,RED,DISABLED,wwwa-prod-web-pool-1,RED,LEAST CONNECTION_MEMBER,wwwa-wwwb-wwwapps-http-check,10.113.62.141,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwa-prod-web-vip-1,10.113.63.12,80,RED,DISABLED,wwwa-prod-web-pool-1,RED,LEAST CONNECTION_MEMBER,wwwa-wwwb-wwwapps-http-check,10.113.62.142,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwa-prod-web-vip-1,10.113.63.12,80,RED,DISABLED,wwwa-prod-web-pool-1,RED,LEAST CONNECTION_MEMBER,wwwa-wwwb-wwwapps-http-check,10.113.62.143,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwa-prod-web-vip-1,10.113.63.12,80,RED,DISABLED,wwwa-prod-web-pool-1,RED,LEAST CONNECTION_MEMBER,wwwa-wwwb-wwwapps-http-check,10.113.62.144,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwa-prod-web-vip-1,10.113.63.12,80,RED,DISABLED,wwwa-prod-web-pool-1,RED,LEAST CONNECTION_MEMBER,wwwa-wwwb-wwwapps-http-check,10.113.62.145,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwa-prod-web-vip-1,10.113.63.12,80,RED,DISABLED,wwwa-prod-web-pool-1,RED,LEAST CONNECTION_MEMBER,wwwa-wwwb-wwwapps-http-check,10.113.62.146,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwa-prod-web-vip-1a,10.113.63.14,80,GREEN,ENABLED,wwwa-prod-web-pool-1a,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-http-check,10.113.62.154,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwa-prod-web-vip-1a,10.113.63.14,80,GREEN,ENABLED,wwwa-prod-web-pool-1a,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-http-check,10.113.62.155,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwa-prod-web-vip-1a,10.113.63.14,80,GREEN,ENABLED,wwwa-prod-web-pool-1a,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-http-check,10.113.62.156,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwa-prod-web-vip-1a,10.113.63.14,80,GREEN,ENABLED,wwwa-prod-web-pool-1a,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-http-check,10.113.62.157,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwa-prod-web-vip-1a,10.113.63.14,80,GREEN,ENABLED,wwwa-prod-web-pool-1a,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-http-check,10.113.62.158,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwa-prod-web-vip-1a,10.113.63.14,80,GREEN,ENABLED,wwwa-prod-web-pool-1a,GREEN,ROUND ROBIN,wwwa-wwwb-wwwapps-http-check,10.113.62.159,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwapps-prod-web-vip-1,10.113.62.130,80,RED,DISABLED,wwwapps-prod-web-pool-1,RED,LEAST CONNECTION_MEMBER,wwwa-wwwb-wwwapps-http-check,10.113.62.131,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwapps-prod-web-vip-1,10.113.62.130,80,RED,DISABLED,wwwapps-prod-web-pool-1,RED,LEAST CONNECTION_MEMBER,wwwa-wwwb-wwwapps-http-check,10.113.62.132,80,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,wwwapps-prod-web-vip-1,10.113.62.130,80,RED,DISABLED,wwwapps-prod-web-pool-1,RED,LEAST CONNECTION_MEMBER,wwwa-wwwb-wwwapps-http-check,10.113.62.133,80,DOWN,DISABLED,
